Value,Identifier,Housing,Time Period
66.6,MVL7,Total new housing,Oct to Dec 2004
66.7,MVL7,Total new housing,Jan to Mar 2005
68.2,MVL7,Total new housing,Apr to June 2005
67.1,MVL7,Total new housing,July to Sept 2005
66.8,MVL7,Total new housing,Oct to Dec 2005
66.8,MVL7,Total new housing,Jan to Mar 2006
68,MVL7,Total new housing,Apr to June 2006
69.2,MVL7,Total new housing,July to Sept 2006
69.9,MVL7,Total new housing,Oct to Dec 2006
70.7,MVL7,Total new housing,Jan to Mar 2007
69.6,MVL7,Total new housing,Apr to June 2007
68.2,MVL7,Total new housing,July to Sept 2007
66,MVL7,Total new housing,Oct to Dec 2007
62.8,MVL7,Total new housing,Jan to Mar 2008
57.6,MVL7,Total new housing,Apr to June 2008
51.8,MVL7,Total new housing,July to Sept 2008
45.1,MVL7,Total new housing,Oct to Dec 2008
40.1,MVL7,Total new housing,Jan to Mar 2009
39.1,MVL7,Total new housing,Apr to June 2009
38.7,MVL7,Total new housing,July to Sept 2009
41.6,MVL7,Total new housing,Oct to Dec 2009
46.1,MVL7,Total new housing,Jan to Mar 2010
50.2,MVL7,Total new housing,Apr to June 2010
54.5,MVL7,Total new housing,July to Sept 2010
53.8,MVL7,Total new housing,Oct to Dec 2010
55.6,MVL7,Total new housing,Jan to Mar 2011
55.4,MVL7,Total new housing,Apr to June 2011
54.9,MVL7,Total new housing,July to Sept 2011
53.4,MVL7,Total new housing,Oct to Dec 2011
53.9,MVL7,Total new housing,Jan to Mar 2012
50.5,MVL7,Total new housing,Apr to June 2012
49.5,MVL7,Total new housing,July to Sept 2012
50.6,MVL7,Total new housing,Oct to Dec 2012
51.4,MVL7,Total new housing,Jan to Mar 2013
54.4,MVL7,Total new housing,Apr to June 2013
56.5,MVL7,Total new housing,July to Sept 2013
60.6,MVL7,Total new housing,Oct to Dec 2013
66.9,MVL7,Total new housing,Jan to Mar 2014
71,MVL7,Total new housing,Apr to June 2014
74.2,MVL7,Total new housing,July to Sept 2014
74.3,MVL7,Total new housing,Oct to Dec 2014
75.3,MVL7,Total new housing,Jan to Mar 2015
76.8,MVL7,Total new housing,Apr to June 2015
72.2,MVL7,Total new housing,July to Sept 2015
75.1,MVL7,Total new housing,Oct to Dec 2015
81.1,MVL7,Total new housing,Jan to Mar 2016
82.1,MVL7,Total new housing,Apr to June 2016
82.4,MVL7,Total new housing,July to Sept 2016
84.1,MVL7,Total new housing,Oct to Dec 2016
88.3,MVL7,Total new housing,Jan to Mar 2017
88.4,MVL7,Total new housing,Apr to June 2017
89.2,MVL7,Total new housing,July to Sept 2017
94.5,MVL7,Total new housing,Oct to Dec 2017
92.8,MVL7,Total new housing,Jan to Mar 2018
91,MVL7,Total new housing,Apr to June 2018
95.4,MVL7,Total new housing,July to Sept 2018
96.7,MVL7,Total new housing,Oct to Dec 2018
99.8,MVL7,Total new housing,Jan to Mar 2019
99.1,MVL7,Total new housing,Apr to June 2019
101.9,MVL7,Total new housing,July to Sept 2019
99.2,MVL7,Total new housing,Oct to Dec 2019
96.7,MVL7,Total new housing,Jan to Mar 2020
46.2,MVL7,Total new housing,Apr to June 2020
84.3,MVL7,Total new housing,July to Sept 2020
89.5,MVL7,Total new housing,Oct to Dec 2020
90.8,MVL7,Total new housing,Jan to Mar 2021
92,MVL7,Total new housing,Apr to June 2021
90.8,MVL7,Total new housing,July to Sept 2021
91.6,MVL7,Total new housing,Oct to Dec 2021
96,MVL7,Total new housing,Jan to Mar 2022
100.8,MVL7,Total new housing,Apr to Jun 2022
101.7,MVL7,Total new housing,Jul to Sep 2022
100.5,MVL7,Total new housing,Oct to Dec 2022
96,MVL7,Total new housing,Jan to Mar 2023
41.8,MVL7,Total new housing,Jan 2010
48,MVL7,Total new housing,Feb 2010
48.7,MVL7,Total new housing,Mar 2010
49.8,MVL7,Total new housing,Apr 2010
51.6,MVL7,Total new housing,May 2010
49.1,MVL7,Total new housing,Jun 2010
52.7,MVL7,Total new housing,Jul 2010
55.5,MVL7,Total new housing,Aug 2010
55.2,MVL7,Total new housing,Sep 2010
55.7,MVL7,Total new housing,Oct 2010
55.1,MVL7,Total new housing,Nov 2010
50.7,MVL7,Total new housing,Dec 2010
54.8,MVL7,Total new housing,Jan 2011
55.9,MVL7,Total new housing,Feb 2011
55.9,MVL7,Total new housing,Mar 2011
55.2,MVL7,Total new housing,Apr 2011
54.9,MVL7,Total new housing,May 2011
56.1,MVL7,Total new housing,Jun 2011
55.5,MVL7,Total new housing,Jul 2011
54.8,MVL7,Total new housing,Aug 2011
54.5,MVL7,Total new housing,Sep 2011
52.9,MVL7,Total new housing,Oct 2011
53.6,MVL7,Total new housing,Nov 2011
53.7,MVL7,Total new housing,Dec 2011
55.1,MVL7,Total new housing,Jan 2012
52.4,MVL7,Total new housing,Feb 2012
54.2,MVL7,Total new housing,Mar 2012
51.1,MVL7,Total new housing,Apr 2012
51.4,MVL7,Total new housing,May 2012
49.1,MVL7,Total new housing,Jun 2012
49.5,MVL7,Total new housing,Jul 2012
48.5,MVL7,Total new housing,Aug 2012
50.4,MVL7,Total new housing,Sep 2012
50.3,MVL7,Total new housing,Oct 2012
50.9,MVL7,Total new housing,Nov 2012
50.5,MVL7,Total new housing,Dec 2012
49.5,MVL7,Total new housing,Jan 2013
52.9,MVL7,Total new housing,Feb 2013
51.7,MVL7,Total new housing,Mar 2013
52.2,MVL7,Total new housing,Apr 2013
54.4,MVL7,Total new housing,May 2013
56.7,MVL7,Total new housing,Jun 2013
55.6,MVL7,Total new housing,Jul 2013
57.1,MVL7,Total new housing,Aug 2013
56.9,MVL7,Total new housing,Sep 2013
59.9,MVL7,Total new housing,Oct 2013
59.7,MVL7,Total new housing,Nov 2013
62.4,MVL7,Total new housing,Dec 2013
68.1,MVL7,Total new housing,Jan 2014
66,MVL7,Total new housing,Feb 2014
66.6,MVL7,Total new housing,Mar 2014
69.7,MVL7,Total new housing,Apr 2014
71.2,MVL7,Total new housing,May 2014
72,MVL7,Total new housing,Jun 2014
73.5,MVL7,Total new housing,Jul 2014
74.5,MVL7,Total new housing,Aug 2014
74.7,MVL7,Total new housing,Sep 2014
74,MVL7,Total new housing,Oct 2014
74.7,MVL7,Total new housing,Nov 2014
74.1,MVL7,Total new housing,Dec 2014
76.2,MVL7,Total new housing,Jan 2015
75,MVL7,Total new housing,Feb 2015
74.8,MVL7,Total new housing,Mar 2015
78.9,MVL7,Total new housing,Apr 2015
77.6,MVL7,Total new housing,May 2015
73.9,MVL7,Total new housing,Jun 2015
72.8,MVL7,Total new housing,Jul 2015
71.9,MVL7,Total new housing,Aug 2015
72,MVL7,Total new housing,Sep 2015
73.8,MVL7,Total new housing,Oct 2015
72.1,MVL7,Total new housing,Nov 2015
79.5,MVL7,Total new housing,Dec 2015
79.3,MVL7,Total new housing,Jan 2016
80.9,MVL7,Total new housing,Feb 2016
83,MVL7,Total new housing,Mar 2016
82.7,MVL7,Total new housing,Apr 2016
81.9,MVL7,Total new housing,May 2016
81.9,MVL7,Total new housing,Jun 2016
82.4,MVL7,Total new housing,Jul 2016
82.3,MVL7,Total new housing,Aug 2016
82.6,MVL7,Total new housing,Sep 2016
82.6,MVL7,Total new housing,Oct 2016
82,MVL7,Total new housing,Nov 2016
87.7,MVL7,Total new housing,Dec 2016
87.6,MVL7,Total new housing,Jan 2017
88,MVL7,Total new housing,Feb 2017
89.3,MVL7,Total new housing,Mar 2017
87.9,MVL7,Total new housing,Apr 2017
87.9,MVL7,Total new housing,May 2017
89.5,MVL7,Total new housing,Jun 2017
87.8,MVL7,Total new housing,Jul 2017
90.4,MVL7,Total new housing,Aug 2017
89.2,MVL7,Total new housing,Sep 2017
89.5,MVL7,Total new housing,Oct 2017
93.1,MVL7,Total new housing,Nov 2017
100.8,MVL7,Total new housing,Dec 2017
90.8,MVL7,Total new housing,Jan 2018
96.2,MVL7,Total new housing,Feb 2018
91.5,MVL7,Total new housing,Mar 2018
89.8,MVL7,Total new housing,Apr 2018
90.9,MVL7,Total new housing,May 2018
92.4,MVL7,Total new housing,Jun 2018
95.8,MVL7,Total new housing,Jul 2018
94.2,MVL7,Total new housing,Aug 2018
96.2,MVL7,Total new housing,Sep 2018
95.5,MVL7,Total new housing,Oct 2018
97.6,MVL7,Total new housing,Nov 2018
97,MVL7,Total new housing,Dec 2018
98.6,MVL7,Total new housing,Jan 2019
103.1,MVL7,Total new housing,Feb 2019
97.7,MVL7,Total new housing,Mar 2019
98.4,MVL7,Total new housing,Apr 2019
98.8,MVL7,Total new housing,May 2019
100,MVL7,Total new housing,Jun 2019
101.9,MVL7,Total new housing,Jul 2019
102.7,MVL7,Total new housing,Aug 2019
101.2,MVL7,Total new housing,Sep 2019
98.2,MVL7,Total new housing,Oct 2019
100,MVL7,Total new housing,Nov 2019
99.4,MVL7,Total new housing,Dec 2019
101.8,MVL7,Total new housing,Jan 2020
97.1,MVL7,Total new housing,Feb 2020
91,MVL7,Total new housing,Mar 2020
36.9,MVL7,Total new housing,Apr 2020
43.6,MVL7,Total new housing,May 2020
58.2,MVL7,Total new housing,Jun 2020
78.6,MVL7,Total new housing,Jul 2020
85.8,MVL7,Total new housing,Aug 2020
88.4,MVL7,Total new housing,Sep 2020
89.4,MVL7,Total new housing,Oct 2020
90,MVL7,Total new housing,Nov 2020
89,MVL7,Total new housing,Dec 2020
86.3,MVL7,Total new housing,Jan 2021
91.4,MVL7,Total new housing,Feb 2021
94.8,MVL7,Total new housing,Mar 2021
92.2,MVL7,Total new housing,Apr 2021
93.4,MVL7,Total new housing,May 2021
90.5,MVL7,Total new housing,Jun 2021
89.9,MVL7,Total new housing,Jul 2021
91.1,MVL7,Total new housing,Aug 2021
91.5,MVL7,Total new housing,Sep 2021
87.9,MVL7,Total new housing,Oct 2021
91.7,MVL7,Total new housing,Nov 2021
95.3,MVL7,Total new housing,Dec 2021
96.2,MVL7,Total new housing,Jan 2022
96.7,MVL7,Total new housing,Feb 2022
95,MVL7,Total new housing,Mar 2022
98.6,MVL7,Total new housing,Apr 2022
103.7,MVL7,Total new housing,May 2022
100.2,MVL7,Total new housing,Jun 2022
101.7,MVL7,Total new housing,Jul 2022
102.2,MVL7,Total new housing,Aug 2022
101.2,MVL7,Total new housing,Sep 2022
102.9,MVL7,Total new housing,Oct 2022
99.6,MVL7,Total new housing,Nov 2022
99.2,MVL7,Total new housing,Dec 2022
95.3,MVL7,Total new housing,Jan 2023
96.9,MVL7,Total new housing,Feb 2023
95.7,MVL7,Total new housing,Mar 2023
92.6,MVL7,Total new housing,Apr 2023
59.5,MV38,Infrastructure new work,1998
57.9,MV38,Infrastructure new work,1999
54.3,MV38,Infrastructure new work,2000
58.1,MV38,Infrastructure new work,2001
65.7,MV38,Infrastructure new work,2002
62,MV38,Infrastructure new work,2003
54.1,MV38,Infrastructure new work,2004
51.9,MV38,Infrastructure new work,2005
47.8,MV38,Infrastructure new work,2006
47.2,MV38,Infrastructure new work,2007
52.4,MV38,Infrastructure new work,2008
60,MV38,Infrastructure new work,2009
76.5,MV38,Infrastructure new work,2010
79.1,MV38,Infrastructure new work,2011
70.2,MV38,Infrastructure new work,2012
71.4,MV38,Infrastructure new work,2013
70.8,MV38,Infrastructure new work,2014
84.4,MV38,Infrastructure new work,2015
83.4,MV38,Infrastructure new work,2016
93.7,MV38,Infrastructure new work,2017
97,MV38,Infrastructure new work,2018
100,MV38,Infrastructure new work,2019
95.2,MV38,Infrastructure new work,2020
122,MV38,Infrastructure new work,2021
121.3,MV38,Infrastructure new work,2022
58.9,MV38,Infrastructure new work,Jan to Mar 1997
64.8,MV38,Infrastructure new work,Apr to June 1997
61.7,MV38,Infrastructure new work,July to Sept 1997
59.5,MV38,Infrastructure new work,Oct to Dec 1997
64.4,MV38,Infrastructure new work,Jan to Mar 1998
57,MV38,Infrastructure new work,Apr to June 1998
56.4,MV38,Infrastructure new work,July to Sept 1998
60.2,MV38,Infrastructure new work,Oct to Dec 1998
59.2,MV38,Infrastructure new work,Jan to Mar 1999
55.1,MV38,Infrastructure new work,Apr to June 1999
58.6,MV38,Infrastructure new work,July to Sept 1999
58.5,MV38,Infrastructure new work,Oct to Dec 1999
54.1,MV38,Infrastructure new work,Jan to Mar 2000
55.1,MV38,Infrastructure new work,Apr to June 2000
52.8,MV38,Infrastructure new work,July to Sept 2000
55.2,MV38,Infrastructure new work,Oct to Dec 2000
56.1,MV38,Infrastructure new work,Jan to Mar 2001
59.5,MV38,Infrastructure new work,Apr to June 2001
59.4,MV38,Infrastructure new work,July to Sept 2001
57.5,MV38,Infrastructure new work,Oct to Dec 2001
63.8,MV38,Infrastructure new work,Jan to Mar 2002
65.1,MV38,Infrastructure new work,Apr to June 2002
69.2,MV38,Infrastructure new work,July to Sept 2002
64.8,MV38,Infrastructure new work,Oct to Dec 2002
64.6,MV38,Infrastructure new work,Jan to Mar 2003
63.3,MV38,Infrastructure new work,Apr to June 2003
60.5,MV38,Infrastructure new work,July to Sept 2003
59.4,MV38,Infrastructure new work,Oct to Dec 2003
56.3,MV38,Infrastructure new work,Jan to Mar 2004
55.5,MV38,Infrastructure new work,Apr to June 2004
53.6,MV38,Infrastructure new work,July to Sept 2004
50.9,MV38,Infrastructure new work,Oct to Dec 2004
52,MV38,Infrastructure new work,Jan to Mar 2005
50.7,MV38,Infrastructure new work,Apr to June 2005
51.6,MV38,Infrastructure new work,July to Sept 2005
53.2,MV38,Infrastructure new work,Oct to Dec 2005
51.3,MV38,Infrastructure new work,Jan to Mar 2006
47.6,MV38,Infrastructure new work,Apr to June 2006
46.2,MV38,Infrastructure new work,July to Sept 2006
46.1,MV38,Infrastructure new work,Oct to Dec 2006
45.4,MV38,Infrastructure new work,Jan to Mar 2007
46.3,MV38,Infrastructure new work,Apr to June 2007
47.6,MV38,Infrastructure new work,July to Sept 2007
49.2,MV38,Infrastructure new work,Oct to Dec 2007
51.2,MV38,Infrastructure new work,Jan to Mar 2008
53.2,MV38,Infrastructure new work,Apr to June 2008
54.5,MV38,Infrastructure new work,July to Sept 2008
50.8,MV38,Infrastructure new work,Oct to Dec 2008
51.8,MV38,Infrastructure new work,Jan to Mar 2009
56.5,MV38,Infrastructure new work,Apr to June 2009
60.4,MV38,Infrastructure new work,July to Sept 2009
71.4,MV38,Infrastructure new work,Oct to Dec 2009
79.5,MV38,Infrastructure new work,Jan to Mar 2010
81.9,MV38,Infrastructure new work,Apr to June 2010
76.3,MV38,Infrastructure new work,July to Sept 2010
68.1,MV38,Infrastructure new work,Oct to Dec 2010
77,MV38,Infrastructure new work,Jan to Mar 2011
82.8,MV38,Infrastructure new work,Apr to June 2011
77.9,MV38,Infrastructure new work,July to Sept 2011
78.6,MV38,Infrastructure new work,Oct to Dec 2011
70.4,MV38,Infrastructure new work,Jan to Mar 2012
66.4,MV38,Infrastructure new work,Apr to June 2012
71.2,MV38,Infrastructure new work,July to Sept 2012
72.9,MV38,Infrastructure new work,Oct to Dec 2012
70.4,MV38,Infrastructure new work,Jan to Mar 2013
70.6,MV38,Infrastructure new work,Apr to June 2013
70.4,MV38,Infrastructure new work,July to Sept 2013
74.4,MV38,Infrastructure new work,Oct to Dec 2013
70.5,MV38,Infrastructure new work,Jan to Mar 2014
68.7,MV38,Infrastructure new work,Apr to June 2014
70,MV38,Infrastructure new work,July to Sept 2014
74,MV38,Infrastructure new work,Oct to Dec 2014
83.3,MV38,Infrastructure new work,Jan to Mar 2015
85.3,MV38,Infrastructure new work,Apr to June 2015
84.4,MV38,Infrastructure new work,July to Sept 2015
84.8,MV38,Infrastructure new work,Oct to Dec 2015
81.6,MV38,Infrastructure new work,Jan to Mar 2016
80.1,MV38,Infrastructure new work,Apr to June 2016
85.3,MV38,Infrastructure new work,July to Sept 2016
86.7,MV38,Infrastructure new work,Oct to Dec 2016
92.6,MV38,Infrastructure new work,Jan to Mar 2017
93.5,MV38,Infrastructure new work,Apr to June 2017
94.4,MV38,Infrastructure new work,July to Sept 2017
94.3,MV38,Infrastructure new work,Oct to Dec 2017
96.1,MV38,Infrastructure new work,Jan to Mar 2018
95.5,MV38,Infrastructure new work,Apr to June 2018
96.8,MV38,Infrastructure new work,July to Sept 2018
99.7,MV38,Infrastructure new work,Oct to Dec 2018
101.6,MV38,Infrastructure new work,Jan to Mar 2019
100.8,MV38,Infrastructure new work,Apr to June 2019
99.3,MV38,Infrastructure new work,July to Sept 2019
98.3,MV38,Infrastructure new work,Oct to Dec 2019
99,MV38,Infrastructure new work,Jan to Mar 2020
83.9,MV38,Infrastructure new work,Apr to June 2020
96.8,MV38,Infrastructure new work,July to Sept 2020
101.2,MV38,Infrastructure new work,Oct to Dec 2020
107.9,MV38,Infrastructure new work,Jan to Mar 2021
125.5,MV38,Infrastructure new work,Apr to June 2021
128.8,MV38,Infrastructure new work,July to Sept 2021
125.7,MV38,Infrastructure new work,Oct to Dec 2021
121.8,MV38,Infrastructure new work,Jan to Mar 2022
118.4,MV38,Infrastructure new work,Apr to Jun 2022
118.2,MV38,Infrastructure new work,Jul to Sep 2022
126.8,MV38,Infrastructure new work,Oct to Dec 2022
124.4,MV38,Infrastructure new work,Jan to Mar 2023
77.2,MV38,Infrastructure new work,Jan 2010
79.4,MV38,Infrastructure new work,Feb 2010
81.9,MV38,Infrastructure new work,Mar 2010
80.3,MV38,Infrastructure new work,Apr 2010
82.5,MV38,Infrastructure new work,May 2010
82.9,MV38,Infrastructure new work,Jun 2010
76.8,MV38,Infrastructure new work,Jul 2010
77.8,MV38,Infrastructure new work,Aug 2010
74.4,MV38,Infrastructure new work,Sep 2010
70.5,MV38,Infrastructure new work,Oct 2010
69.8,MV38,Infrastructure new work,Nov 2010
63.9,MV38,Infrastructure new work,Dec 2010
76.7,MV38,Infrastructure new work,Jan 2011
76.6,MV38,Infrastructure new work,Feb 2011
77.5,MV38,Infrastructure new work,Mar 2011
81.7,MV38,Infrastructure new work,Apr 2011
82.9,MV38,Infrastructure new work,May 2011
83.8,MV38,Infrastructure new work,Jun 2011
80.5,MV38,Infrastructure new work,Jul 2011
76.5,MV38,Infrastructure new work,Aug 2011
76.7,MV38,Infrastructure new work,Sep 2011
72.4,MV38,Infrastructure new work,Oct 2011
77.2,MV38,Infrastructure new work,Nov 2011
86.1,MV38,Infrastructure new work,Dec 2011
75.5,MV38,Infrastructure new work,Jan 2012
68.5,MV38,Infrastructure new work,Feb 2012
67.3,MV38,Infrastructure new work,Mar 2012
67.1,MV38,Infrastructure new work,Apr 2012
65.2,MV38,Infrastructure new work,May 2012
66.8,MV38,Infrastructure new work,Jun 2012
64.9,MV38,Infrastructure new work,Jul 2012
75.4,MV38,Infrastructure new work,Aug 2012
73.2,MV38,Infrastructure new work,Sep 2012
74.2,MV38,Infrastructure new work,Oct 2012
73.5,MV38,Infrastructure new work,Nov 2012
71,MV38,Infrastructure new work,Dec 2012
69.8,MV38,Infrastructure new work,Jan 2013
70.4,MV38,Infrastructure new work,Feb 2013
71.1,MV38,Infrastructure new work,Mar 2013
69.2,MV38,Infrastructure new work,Apr 2013
69,MV38,Infrastructure new work,May 2013
73.7,MV38,Infrastructure new work,Jun 2013
70.8,MV38,Infrastructure new work,Jul 2013
72.5,MV38,Infrastructure new work,Aug 2013
67.8,MV38,Infrastructure new work,Sep 2013
75.8,MV38,Infrastructure new work,Oct 2013
73.8,MV38,Infrastructure new work,Nov 2013
73.6,MV38,Infrastructure new work,Dec 2013
72,MV38,Infrastructure new work,Jan 2014
70.8,MV38,Infrastructure new work,Feb 2014
68.7,MV38,Infrastructure new work,Mar 2014
68.4,MV38,Infrastructure new work,Apr 2014
69.5,MV38,Infrastructure new work,May 2014
68.2,MV38,Infrastructure new work,Jun 2014
69,MV38,Infrastructure new work,Jul 2014
69.5,MV38,Infrastructure new work,Aug 2014
71.4,MV38,Infrastructure new work,Sep 2014
72,MV38,Infrastructure new work,Oct 2014
75.4,MV38,Infrastructure new work,Nov 2014
74.8,MV38,Infrastructure new work,Dec 2014
83,MV38,Infrastructure new work,Jan 2015
80.5,MV38,Infrastructure new work,Feb 2015
86.2,MV38,Infrastructure new work,Mar 2015
88.2,MV38,Infrastructure new work,Apr 2015
84.7,MV38,Infrastructure new work,May 2015
83,MV38,Infrastructure new work,Jun 2015
85.9,MV38,Infrastructure new work,Jul 2015
84.7,MV38,Infrastructure new work,Aug 2015
82.5,MV38,Infrastructure new work,Sep 2015
82.9,MV38,Infrastructure new work,Oct 2015
80.3,MV38,Infrastructure new work,Nov 2015
91.2,MV38,Infrastructure new work,Dec 2015
80.9,MV38,Infrastructure new work,Jan 2016
81.9,MV38,Infrastructure new work,Feb 2016
82,MV38,Infrastructure new work,Mar 2016
80.1,MV38,Infrastructure new work,Apr 2016
80.4,MV38,Infrastructure new work,May 2016
79.8,MV38,Infrastructure new work,Jun 2016
84.3,MV38,Infrastructure new work,Jul 2016
85.2,MV38,Infrastructure new work,Aug 2016
86.4,MV38,Infrastructure new work,Sep 2016
84.3,MV38,Infrastructure new work,Oct 2016
87.4,MV38,Infrastructure new work,Nov 2016
88.3,MV38,Infrastructure new work,Dec 2016
96.3,MV38,Infrastructure new work,Jan 2017
89.3,MV38,Infrastructure new work,Feb 2017
92.2,MV38,Infrastructure new work,Mar 2017
94,MV38,Infrastructure new work,Apr 2017
92.2,MV38,Infrastructure new work,May 2017
94.3,MV38,Infrastructure new work,Jun 2017
93.8,MV38,Infrastructure new work,Jul 2017
95.1,MV38,Infrastructure new work,Aug 2017
94.2,MV38,Infrastructure new work,Sep 2017
89.1,MV38,Infrastructure new work,Oct 2017
93.7,MV38,Infrastructure new work,Nov 2017
100,MV38,Infrastructure new work,Dec 2017
101.8,MV38,Infrastructure new work,Jan 2018
94.6,MV38,Infrastructure new work,Feb 2018
91.8,MV38,Infrastructure new work,Mar 2018
94.2,MV38,Infrastructure new work,Apr 2018
94,MV38,Infrastructure new work,May 2018
98.3,MV38,Infrastructure new work,Jun 2018
95.5,MV38,Infrastructure new work,Jul 2018
95.8,MV38,Infrastructure new work,Aug 2018
99.3,MV38,Infrastructure new work,Sep 2018
101.9,MV38,Infrastructure new work,Oct 2018
100.3,MV38,Infrastructure new work,Nov 2018
97,MV38,Infrastructure new work,Dec 2018
100.4,MV38,Infrastructure new work,Jan 2019
102.4,MV38,Infrastructure new work,Feb 2019
102.1,MV38,Infrastructure new work,Mar 2019
100.2,MV38,Infrastructure new work,Apr 2019
103.9,MV38,Infrastructure new work,May 2019
98.3,MV38,Infrastructure new work,Jun 2019
97.2,MV38,Infrastructure new work,Jul 2019
96.2,MV38,Infrastructure new work,Aug 2019
104.6,MV38,Infrastructure new work,Sep 2019
99.3,MV38,Infrastructure new work,Oct 2019
97,MV38,Infrastructure new work,Nov 2019
98.4,MV38,Infrastructure new work,Dec 2019
103,MV38,Infrastructure new work,Jan 2020
98.4,MV38,Infrastructure new work,Feb 2020
95.5,MV38,Infrastructure new work,Mar 2020
73.1,MV38,Infrastructure new work,Apr 2020
91.5,MV38,Infrastructure new work,May 2020
87,MV38,Infrastructure new work,Jun 2020
96.2,MV38,Infrastructure new work,Jul 2020
97.7,MV38,Infrastructure new work,Aug 2020
96.3,MV38,Infrastructure new work,Sep 2020
96.3,MV38,Infrastructure new work,Oct 2020
103.4,MV38,Infrastructure new work,Nov 2020
104,MV38,Infrastructure new work,Dec 2020
105.9,MV38,Infrastructure new work,Jan 2021
105.8,MV38,Infrastructure new work,Feb 2021
112,MV38,Infrastructure new work,Mar 2021
121.2,MV38,Infrastructure new work,Apr 2021
127.1,MV38,Infrastructure new work,May 2021
128.2,MV38,Infrastructure new work,Jun 2021
131.2,MV38,Infrastructure new work,Jul 2021
129.6,MV38,Infrastructure new work,Aug 2021
125.6,MV38,Infrastructure new work,Sep 2021
124,MV38,Infrastructure new work,Oct 2021
127.5,MV38,Infrastructure new work,Nov 2021
125.7,MV38,Infrastructure new work,Dec 2021
122.9,MV38,Infrastructure new work,Jan 2022
119.7,MV38,Infrastructure new work,Feb 2022
122.6,MV38,Infrastructure new work,Mar 2022
126.3,MV38,Infrastructure new work,Apr 2022
114.5,MV38,Infrastructure new work,May 2022
114.3,MV38,Infrastructure new work,Jun 2022
114.2,MV38,Infrastructure new work,Jul 2022
119.2,MV38,Infrastructure new work,Aug 2022
121,MV38,Infrastructure new work,Sep 2022
121,MV38,Infrastructure new work,Oct 2022
127.2,MV38,Infrastructure new work,Nov 2022
132.2,MV38,Infrastructure new work,Dec 2022
124.6,MV38,Infrastructure new work,Jan 2023
123,MV38,Infrastructure new work,Feb 2023
125.7,MV38,Infrastructure new work,Mar 2023
129.3,MV38,Infrastructure new work,Apr 2023
60.7,MV39,Public other new work,1998
68.3,MV39,Public other new work,1999
64.7,MV39,Public other new work,2000
65.3,MV39,Public other new work,2001
82.6,MV39,Public other new work,2002
103.7,MV39,Public other new work,2003
116.4,MV39,Public other new work,2004
104.8,MV39,Public other new work,2005
96.2,MV39,Public other new work,2006
94.6,MV39,Public other new work,2007
105.3,MV39,Public other new work,2008
127.4,MV39,Public other new work,2009
168,MV39,Public other new work,2010
155,MV39,Public other new work,2011
122.1,MV39,Public other new work,2012
111.1,MV39,Public other new work,2013
112.1,MV39,Public other new work,2014
112.9,MV39,Public other new work,2015
117.4,MV39,Public other new work,2016
114.8,MV39,Public other new work,2017
101.9,MV39,Public other new work,2018
100,MV39,Public other new work,2019
92.1,MV39,Public other new work,2020
91,MV39,Public other new work,2021
82.5,MV39,Public other new work,2022
60.6,MV39,Public other new work,Jan to Mar 1997
55.6,MV39,Public other new work,Apr to June 1997
57.7,MV39,Public other new work,July to Sept 1997
56.3,MV39,Public other new work,Oct to Dec 1997
57,MV39,Public other new work,Jan to Mar 1998
61.4,MV39,Public other new work,Apr to June 1998
61,MV39,Public other new work,July to Sept 1998
63.3,MV39,Public other new work,Oct to Dec 1998
69.3,MV39,Public other new work,Jan to Mar 1999
65.6,MV39,Public other new work,Apr to June 1999
70.1,MV39,Public other new work,July to Sept 1999
68.3,MV39,Public other new work,Oct to Dec 1999
68.1,MV39,Public other new work,Jan to Mar 2000
66.3,MV39,Public other new work,Apr to June 2000
61.8,MV39,Public other new work,July to Sept 2000
62.6,MV39,Public other new work,Oct to Dec 2000
58.7,MV39,Public other new work,Jan to Mar 2001
64.5,MV39,Public other new work,Apr to June 2001
66.8,MV39,Public other new work,July to Sept 2001
71.2,MV39,Public other new work,Oct to Dec 2001
74.5,MV39,Public other new work,Jan to Mar 2002
80.1,MV39,Public other new work,Apr to June 2002
86.3,MV39,Public other new work,July to Sept 2002
89.8,MV39,Public other new work,Oct to Dec 2002
93.2,MV39,Public other new work,Jan to Mar 2003
99.5,MV39,Public other new work,Apr to June 2003
106.8,MV39,Public other new work,July to Sept 2003
115.2,MV39,Public other new work,Oct to Dec 2003
119.3,MV39,Public other new work,Jan to Mar 2004
118.4,MV39,Public other new work,Apr to June 2004
115.7,MV39,Public other new work,July to Sept 2004
112.4,MV39,Public other new work,Oct to Dec 2004
110.4,MV39,Public other new work,Jan to Mar 2005
107,MV39,Public other new work,Apr to June 2005
101.9,MV39,Public other new work,July to Sept 2005
99.9,MV39,Public other new work,Oct to Dec 2005
99.1,MV39,Public other new work,Jan to Mar 2006
96.5,MV39,Public other new work,Apr to June 2006
95.1,MV39,Public other new work,July to Sept 2006
94.2,MV39,Public other new work,Oct to Dec 2006
93.8,MV39,Public other new work,Jan to Mar 2007
94.1,MV39,Public other new work,Apr to June 2007
95.1,MV39,Public other new work,July to Sept 2007
95.5,MV39,Public other new work,Oct to Dec 2007
100.8,MV39,Public other new work,Jan to Mar 2008
103.5,MV39,Public other new work,Apr to June 2008
108.1,MV39,Public other new work,July to Sept 2008
108.6,MV39,Public other new work,Oct to Dec 2008
110,MV39,Public other new work,Jan to Mar 2009
